x,y
1173916800000,185
1176595200000,297
1179187200000,1793
1181865600000,2287
1184457600000,2046
1187136000000,1770
1189814400000,2031
1192406400000,2314
1195084800000,2605
1197676800000,3302
1200355200000,3761
1203033600000,4398
1205539200000,5134
1208217600000,5341
1210809600000,5708
1213488000000,6139
1216080000000,5977
1218758400000,5637
1221436800000,5540
1224028800000,6772
1226707200000,7384
1229299200000,7300
1231977600000,7622
1234656000000,7815
1237075200000,8057
1239753600000,7636
1242345600000,9481
1245024000000,9228
1247616000000,8717
1250294400000,8033
1252972800000,8054
1255564800000,9306
1258243200000,10022
1260835200000,10340
1263513600000,10835
1266192000000,10228
1268611200000,12008
1271289600000,12092
1273881600000,12978
1276560000000,13117
1279152000000,11962
1281830400000,11066
1284508800000,11163
1287100800000,12499
1289779200000,13327
1292371200000,13399
1295049600000,13464
1297728000000,13671
1300147200000,15273
1302825600000,14581
1305417600000,15386
1308096000000,14800
1310688000000,13574
1313366400000,12893
1316044800000,12437
1318636800000,13397
1321315200000,14744
1323907200000,14483
1326585600000,14141
1329264000000,14342
1331769600000,15780
1334448000000,14267
1337040000000,15931
1339718400000,14659
1342310400000,13063
1344988800000,11722
1347667200000,11839
1350259200000,14843
1352937600000,15585
1355529600000,14845
1358208000000,14523
1360886400000,15899
1363305600000,18107
1365984000000,17360
1368576000000,27427
1371254400000,32697
1373846400000,30010
1376524800000,26805
1379203200000,30600
1381795200000,43784
1384473600000,54767
1387065600000,63075
1389744000000,61052
1392422400000,67168
1394841600000,79374
1397520000000,76973
1400112000000,91236
1402790400000,82289
1405382400000,73277
1408060800000,64756
1410739200000,80623
1413331200000,103695
1416009600000,118858
1418601600000,134531
1421280000000,135315
1423958400000,134630
1426377600000,142368
1429056000000,129779
1431648000000,140323
1434326400000,124013
1436918400000,104789
1439596800000,98483
1442275200000,111063
1444867200000,133801
1447545600000,149869
