x,y
1173916800000,884
1176595200000,1902
1179187200000,10850
1181865600000,14791
1184457600000,22224
1187136000000,26351
1189814400000,21278
1192406400000,25570
1195084800000,24625
1197676800000,46108
1200355200000,61680
1203033600000,86742
1205539200000,116198
1208217600000,115252
1210809600000,107321
1213488000000,135851
1216080000000,147788
1218758400000,141673
1221436800000,108982
1224028800000,129273
1226707200000,145481
1229299200000,135242
1231977600000,158053
1234656000000,158528
1237075200000,154973
1239753600000,166966
1242345600000,219591
1245024000000,209192
1247616000000,298561
1250294400000,332091
1252972800000,234327
1255564800000,215606
1258243200000,248326
1260835200000,257434
1263513600000,244266
1266192000000,225875
1268611200000,260749
1271289600000,287325
1273881600000,300977
1276560000000,355894
1279152000000,395452
1281830400000,434703
1284508800000,334435
1287100800000,340236
1289779200000,357434
1292371200000,409022
1295049600000,404757
1297728000000,369064
1300147200000,353606
1302825600000,340523
1305417600000,321271
1308096000000,378719
1310688000000,442176
1313366400000,448415
1316044800000,332419
1318636800000,296758
1321315200000,317675
1323907200000,323348
1326585600000,327460
1329264000000,295901
1331769600000,283813
1334448000000,301937
1337040000000,322427
1339718400000,359319
1342310400000,395821
1344988800000,356083
1347667200000,280206
1350259200000,283128
1352937600000,299656
1355529600000,274244
1358208000000,317871
1360886400000,274838
1363305600000,319027
1365984000000,309003
1368576000000,343385
1371254400000,457555
1373846400000,535663
1376524800000,550513
1379203200000,427484
1381795200000,558987
1384473600000,755563
1387065600000,906081
1389744000000,974111
1392422400000,980382
1394841600000,1104365
1397520000000,1063976
1400112000000,1243176
1402790400000,1296452
1405382400000,1439706
1408060800000,1446963
1410739200000,1231745
1413331200000,1332247
1416009600000,1531116
1418601600000,1765247
1421280000000,1881596
1423958400000,1899338
1426377600000,2179700
1429056000000,2054268
1431648000000,2263365
1434326400000,2220139
1436918400000,2241944
1439596800000,2381427
1442275200000,2043157
1444867200000,2232072
1447545600000,2471930
