x,y
1173916800000,611
1176595200000,951
1179187200000,5103
1181865600000,7613
1184457600000,6102
1187136000000,5674
1189814400000,6215
1192406400000,8603
1195084800000,10813
1197676800000,13304
1200355200000,15902
1203033600000,18865
1205539200000,21616
1208217600000,21875
1210809600000,23468
1213488000000,24253
1216080000000,27468
1218758400000,24514
1221436800000,24319
1224028800000,28027
1226707200000,29662
1229299200000,29316
1231977600000,32309
1234656000000,34214
1237075200000,37112
1239753600000,35004
1242345600000,41383
1245024000000,37655
1247616000000,40366
1250294400000,35807
1252972800000,32268
1255564800000,40084
1258243200000,42261
1260835200000,41252
1263513600000,42465
1266192000000,39947
1268611200000,50412
1271289600000,57142
1273881600000,68771
1276560000000,72105
1279152000000,58042
1281830400000,49830
1284508800000,51766
1287100800000,58159
1289779200000,62989
1292371200000,57504
1295049600000,57199
1297728000000,55932
1300147200000,63919
1302825600000,62017
1305417600000,67929
1308096000000,65692
1310688000000,56677
1313366400000,49758
1316044800000,48580
1318636800000,57204
1321315200000,68124
1323907200000,60375
1326585600000,53767
1329264000000,56603
1331769600000,69511
1334448000000,65857
1337040000000,70366
1339718400000,62773
1342310400000,57167
1344988800000,45647
1347667200000,49588
1350259200000,63846
1352937600000,68202
1355529600000,60391
1358208000000,58470
1360886400000,66744
1363305600000,82733
1365984000000,79353
1368576000000,94390
1371254400000,127184
1373846400000,107009
1376524800000,88492
1379203200000,110581
1381795200000,159829
1384473600000,197984
1387065600000,215543
1389744000000,194646
1392422400000,203157
1394841600000,247613
1397520000000,236033
1400112000000,279533
1402790400000,226204
1405382400000,195537
1408060800000,165432
1410739200000,238872
1413331200000,319243
1416009600000,362701
1418601600000,397090
1421280000000,379582
1423958400000,381154
1426377600000,423259
1429056000000,407012
1431648000000,449966
1434326400000,362293
1436918400000,293321
1439596800000,275253
1442275200000,365493
1444867200000,501157
1447545600000,567376
