x,y
1173916800000,604
1176595200000,892
1179187200000,4605
1181865600000,6369
1184457600000,5089
1187136000000,4669
1189814400000,5316
1192406400000,6776
1195084800000,8413
1197676800000,9996
1200355200000,11651
1203033600000,13768
1205539200000,15669
1208217600000,15757
1210809600000,16767
1213488000000,17450
1216080000000,18807
1218758400000,16768
1221436800000,16555
1224028800000,18996
1226707200000,21217
1229299200000,20680
1231977600000,22067
1234656000000,24031
1237075200000,27448
1239753600000,25088
1242345600000,29384
1245024000000,27081
1247616000000,29403
1250294400000,24996
1252972800000,23224
1255564800000,29952
1258243200000,31064
1260835200000,29842
1263513600000,30738
1266192000000,28904
1268611200000,37046
1271289600000,42282
1273881600000,52382
1276560000000,55320
1279152000000,42021
1281830400000,34162
1284508800000,37167
1287100800000,41019
1289779200000,45333
1292371200000,40830
1295049600000,40799
1297728000000,40793
1300147200000,47926
1302825600000,44895
1305417600000,49929
1308096000000,47186
1310688000000,39602
1313366400000,34537
1316044800000,35332
1318636800000,41172
1321315200000,49993
1323907200000,44592
1326585600000,38664
1329264000000,40460
1331769600000,50342
1334448000000,47365
1337040000000,51086
1339718400000,45494
1342310400000,40030
1344988800000,31414
1347667200000,36104
1350259200000,48361
1352937600000,51338
1355529600000,45084
1358208000000,41949
1360886400000,49557
1363305600000,61929
1365984000000,59765
1368576000000,77056
1371254400000,102304
1373846400000,80451
1376524800000,63261
1379203200000,86993
1381795200000,128194
1384473600000,155475
1387065600000,172325
1389744000000,151994
1392422400000,157225
1394841600000,195382
1397520000000,185161
1400112000000,220362
1402790400000,171252
1405382400000,143818
1408060800000,119527
1410739200000,186389
1413331200000,252560
1416009600000,288182
1418601600000,311737
1421280000000,284371
1423958400000,284729
1426377600000,312111
1429056000000,295706
1431648000000,321962
1434326400000,252840
1436918400000,197323
1439596800000,185292
1442275200000,252665
1444867200000,353427
1447545600000,405206
