x,y
1173916800000,844
1176595200000,941
1179187200000,10742
1181865600000,8063
1184457600000,6242
1187136000000,4492
1189814400000,6437
1192406400000,6539
1195084800000,7182
1197676800000,7143
1200355200000,9621
1203033600000,10381
1205539200000,10933
1208217600000,11422
1210809600000,12716
1213488000000,12453
1216080000000,11443
1218758400000,10806
1221436800000,12944
1224028800000,14330
1226707200000,15404
1229299200000,13078
1231977600000,15537
1234656000000,19430
1237075200000,20741
1239753600000,16750
1242345600000,20244
1245024000000,18399
1247616000000,15533
1250294400000,12559
1252972800000,17717
1255564800000,19002
1258243200000,19082
1260835200000,15084
1263513600000,18880
1266192000000,17687
1268611200000,23486
1271289600000,22836
1273881600000,32400
1276560000000,34432
1279152000000,20377
1281830400000,15261
1284508800000,23376
1287100800000,21622
1289779200000,23437
1292371200000,17843
1295049600000,20145
1297728000000,24234
1300147200000,28929
1302825600000,21517
1305417600000,28629
1308096000000,22357
1310688000000,17199
1313366400000,15672
1316044800000,25050
1318636800000,25236
1321315200000,30075
1323907200000,24691
1326585600000,25984
1329264000000,31203
1331769600000,36629
1334448000000,29285
1337040000000,35342
1339718400000,26739
1342310400000,20943
1344988800000,19258
1347667200000,30306
1350259200000,47766
1352937600000,41921
1355529600000,33129
1358208000000,35350
1360886400000,45775
1363305600000,53820
1365984000000,45963
1368576000000,93828
1371254400000,89275
1373846400000,68055
1376524800000,64433
1379203200000,117642
1381795200000,136420
1384473600000,145486
1387065600000,196244
1389744000000,201701
1392422400000,173343
1394841600000,201992
1397520000000,178575
1400112000000,224297
1402790400000,159189
1405382400000,121984
1408060800000,118308
1410739200000,253568
1413331200000,293541
1416009600000,294892
1418601600000,324089
1421280000000,344165
1423958400000,308423
1426377600000,381548
1429056000000,451207
1431648000000,314229
1434326400000,241193
1436918400000,161830
1439596800000,186849
1442275200000,375608
1444867200000,427821
1447545600000,635704
