x,y
1173916800000,202
1176595200000,331
1179187200000,1726
1181865600000,1941
1184457600000,1719
1187136000000,1465
1189814400000,2010
1192406400000,2398
1195084800000,2763
1197676800000,2962
1200355200000,3443
1203033600000,4217
1205539200000,4643
1208217600000,4585
1210809600000,5194
1213488000000,5253
1216080000000,4836
1218758400000,4307
1221436800000,5433
1224028800000,5940
1226707200000,6994
1229299200000,6495
1231977600000,6641
1234656000000,7721
1237075200000,9137
1239753600000,8518
1242345600000,9240
1245024000000,9056
1247616000000,7928
1250294400000,6661
1252972800000,7483
1255564800000,9572
1258243200000,10197
1260835200000,9366
1263513600000,9881
1266192000000,9065
1268611200000,12104
1271289600000,15082
1273881600000,22400
1276560000000,23668
1279152000000,13283
1281830400000,9795
1284508800000,13719
1287100800000,14189
1289779200000,15839
1292371200000,14074
1295049600000,13431
1297728000000,14160
1300147200000,16935
1302825600000,14898
1305417600000,17327
1308096000000,15485
1310688000000,11674
1313366400000,10717
1316044800000,14082
1318636800000,15590
1321315200000,19214
1323907200000,17510
1326585600000,15200
1329264000000,15912
1331769600000,19694
1334448000000,17547
1337040000000,20146
1339718400000,16362
1342310400000,12553
1344988800000,11184
1347667200000,14796
1350259200000,22770
1352937600000,23027
1355529600000,19998
1358208000000,18181
1360886400000,21220
1363305600000,26597
1365984000000,25613
1368576000000,34887
1371254400000,37564
1373846400000,30015
1376524800000,26134
1379203200000,40500
1381795200000,58345
1384473600000,69892
1387065600000,88758
1389744000000,79444
1392422400000,79144
1394841600000,94369
1397520000000,88941
1400112000000,110049
1402790400000,82590
1405382400000,58786
1408060800000,50779
1410739200000,87845
1413331200000,123255
1416009600000,137954
1418601600000,161567
1421280000000,142752
1423958400000,139299
1426377600000,147406
1429056000000,131562
1431648000000,152139
1434326400000,117685
1436918400000,76430
1439596800000,72785
1442275200000,117099
1444867200000,161629
1447545600000,183861
