x,y
4,17271
5,23467
6,43886
7,105004
8,231003
9,441602
10,674761
11,853148
12,907325
13,829384
14,691720
15,904235
16,349501
17,267238
18,275084
19,157035
20,132563
21,103529
22,91771
23,90199
24,93093
25,94256
26,61806
27,60017
28,65121
29,45977
30,44442
31,39698
32,38618
33,40055
34,42005
35,43443
36,33620
37,33974
38,34449
39,34216
40,34931
41,33677
42,33802
43,32407
44,31715
45,31071
46,26626
47,22310
48,20820
49,19571
50,18214
51,16620
52,14958
53,13942
54,12923
55,11651
56,9784
57,8814
58,7953
59,7095
60,6185
61,5411
62,4704
63,4335
64,4066
65,3885
66,2887
67,2689
68,2464
69,2361
70,2083
71,1723
72,1571
73,1580
74,1323
75,1261
76,1048
77,910
78,821
79,769
80,717
