x,y
1173916800000,7
1176595200000,59
1179187200000,498
1181865600000,1244
1184457600000,1013
1187136000000,1005
1189814400000,899
1192406400000,1827
1195084800000,2400
1197676800000,3308
1200355200000,4251
1203033600000,5097
1205539200000,5947
1208217600000,6118
1210809600000,6701
1213488000000,6803
1216080000000,8661
1218758400000,7746
1221436800000,7764
1224028800000,9031
1226707200000,8445
1229299200000,8636
1231977600000,10242
1234656000000,10183
1237075200000,9664
1239753600000,9916
1242345600000,11999
1245024000000,10574
1247616000000,10963
1250294400000,10811
1252972800000,9044
1255564800000,10132
1258243200000,11197
1260835200000,11410
1263513600000,11727
1266192000000,11043
1268611200000,13366
1271289600000,14860
1273881600000,16389
1276560000000,16785
1279152000000,16021
1281830400000,15668
1284508800000,14599
1287100800000,17140
1289779200000,17656
1292371200000,16674
1295049600000,16400
1297728000000,15139
1300147200000,15993
1302825600000,17122
1305417600000,18000
1308096000000,18506
1310688000000,17075
1313366400000,15221
1316044800000,13248
1318636800000,16032
1321315200000,18131
1323907200000,15783
1326585600000,15103
1329264000000,16143
1331769600000,19169
1334448000000,18492
1337040000000,19280
1339718400000,17279
1342310400000,17137
1344988800000,14233
1347667200000,13484
1350259200000,15485
1352937600000,16864
1355529600000,15307
1358208000000,16521
1360886400000,17187
1363305600000,20804
1365984000000,19588
1368576000000,17334
1371254400000,24880
1373846400000,26558
1376524800000,25231
1379203200000,23588
1381795200000,31635
1384473600000,42509
1387065600000,43218
1389744000000,42652
1392422400000,45932
1394841600000,52231
1397520000000,50872
1400112000000,59171
1402790400000,54952
1405382400000,51719
1408060800000,45905
1410739200000,52483
1413331200000,66683
1416009600000,74519
1418601600000,85353
1421280000000,95211
1423958400000,96425
1426377600000,111148
1429056000000,111306
1431648000000,128004
1434326400000,109453
1436918400000,95998
1439596800000,89961
1442275200000,112828
1444867200000,147730
1447545600000,162171
