room_type,price,minimum_nights,number_of_reviews,reviews_per_month,availability_365
Entire home/apt,250,2,23,0.6,215
Private room,89,2,1,1,111
Private room,164,1,0,,111
Entire home/apt,170,2,11,0.5,129
Entire home/apt,185,2,5,1.7,9
Private room,135,3,55,3.9,207
Shared room,70,3,0,,348
Entire home/apt,125,15,0,,254
Entire home/apt,140,3,14,2,289
Private room,69,1,42,5.2,238
Entire home/apt,550,3,52,1.5,222
Entire home/apt,350,4,42,1.1,243
Private room,100,2,0,,365
Entire home/apt,450,1,13,0.7,135
Entire home/apt,225,1,18,1.8,40
Entire home/apt,550,3,1,1,36
Private room,75,2,14,1.2,347
Entire home/apt,189,1,0,,270
Entire home/apt,150,2,1,0.1,0
Entire home/apt,168,2,5,0.7,359
Private room,99,1,2,0.3,363
Entire home/apt,215,3,31,0.7,249
Private room,120,5,10,0.3,360
Private room,90,3,9,0.4,250
Private room,140,1,0,,62
Entire home/apt,145,4,1,1,45
Entire home/apt,199,2,0,,24
Entire home/apt,170,2,17,0.4,365
Entire home/apt,300,3,4,1.8,215
Entire home/apt,158,3,2,0.8,180
Shared room,100,1,0,,365
Entire home/apt,120,3,65,2.4,315
Entire home/apt,100,1,2,1.1,151
Entire home/apt,300,3,2,0.1,150
Entire home/apt,425,1,29,3.2,285
Entire home/apt,165,1,130,5.2,332
Entire home/apt,169,2,112,3.3,340
Entire home/apt,650,2,27,0.6,358
Entire home/apt,92,3,60,4.9,6
Entire home/apt,160,3,2,0.6,186
Private room,140,1,0,,365
Entire home/apt,388,3,3,1.7,153
Entire home/apt,140,1,16,0.8,0
Private room,129,3,29,1.3,336
Entire home/apt,168,1,0,,10
Entire home/apt,349,1,1,0.1,271
Private room,97,1,0,,138
Entire home/apt,160,2,0,,173
Entire home/apt,168,2,5,2.2,204
Entire home/apt,150,2,13,0.4,266
Entire home/apt,175,3,12,1.3,200
Private room,95,1,31,2.7,247
Entire home/apt,275,3,12,0.2,178
Private room,115,2,13,0.7,49
Entire home/apt,149,1,53,2,241
Private room,135,2,37,1.7,330
Private room,385,1,0,,242
Entire home/apt,225,3,9,0.5,310
Entire home/apt,65,28,11,1.1,188
Entire home/apt,350,1,1,0,265
Private room,250,1,0,,125
Entire home/apt,180,3,1,1,83
Entire home/apt,325,5,0,,98
Entire home/apt,148,1,12,1.8,203
Entire home/apt,550,3,0,,362
Entire home/apt,215,2,7,0.3,349
Entire home/apt,350,2,39,0.8,349
Entire home/apt,199,2,4,0.7,12
Entire home/apt,250,2,21,0.9,311
Entire home/apt,200,3,0,,365
Entire home/apt,425,3,55,2,170
Private room,125,1,2,0.1,141
Private room,50,20,1,0.1,311
Entire home/apt,260,2,24,1.9,311
Private room,98,7,19,0.5,310
Private room,100,1,0,,43
Private room,125,2,26,2.9,217
Entire home/apt,550,14,2,0.5,321
Entire home/apt,250,2,2,0.1,345
Entire home/apt,125,4,166,2.7,239
Entire home/apt,130,7,2,0.3,228
Entire home/apt,140,2,65,1.7,121
Private room,125,2,149,4.3,265
Entire home/apt,490,3,38,1.8,297
Entire home/apt,475,3,11,0.6,6
Entire home/apt,198,3,4,2.4,128
